data_incendi,codi_comarca,comarca,codi_municipi,termemunic,haarbrades,hanoarbrad,hanoforest,haforestal,source_table
2011-04-16T00:00:00.000,09,Baix Ebre,431042,"Perelló, el",0,0.08,0,0.08,bks7-dkfd
2011-04-16T00:00:00.000,38,Urgell,250463,Belianes,0,0.34,0,0.34,bks7-dkfd
2011-04-16T00:00:00.000,09,Baix Ebre,431042,"Perelló, el",0,0.96,0,0.96,bks7-dkfd
2011-04-16T00:00:00.000,09,Baix Ebre,439060,"Ampolla, l'",0,0.03,0,0.03,bks7-dkfd
2011-04-16T00:00:00.000,09,Baix Ebre,439060,"Ampolla, l'",0,0.0092,0,0.0092,bks7-dkfd
2011-04-16T00:00:00.000,09,Baix Ebre,431042,"Perelló, el",0,0.0001,0,0.0001,bks7-dkfd
2011-04-16T00:00:00.000,09,Baix Ebre,439060,"Ampolla, l'",0,0.04,0,0.04,bks7-dkfd
2011-04-16T00:00:00.000,09,Baix Ebre,439060,"Ampolla, l'",0,0.0001,0,0.0001,bks7-dkfd
2011-04-16T00:00:00.000,09,Baix Ebre,431042,"Perelló, el",0,0.11,0,0.11,bks7-dkfd
2011-04-17T00:00:00.000,13,Barcelonès,080193,Barcelona,0,1.6,0,1.6,bks7-dkfd
2011-04-17T00:00:00.000,37,Terra Alta,430483,Corbera d'Ebre,0,1.14,0,1.14,bks7-dkfd
2011-04-17T00:00:00.000,33,Segrià,252108,Soses,0,0.5,0.25,0.5,bks7-dkfd
2011-04-18T00:00:00.000,16,Conca de Barberà,431476,Solivella,0.3,0.4,0.6,0.7,bks7-dkfd
2011-04-18T00:00:00.000,41,Vallès Oriental,080462,Cardedeu,0,0.005,0,0.005,bks7-dkfd
2011-04-19T00:00:00.000,38,Urgell,250030,Agramunt,0,0.5,0,0.5,bks7-dkfd
2011-04-19T00:00:00.000,23,Noguera,250349,Artesa de Segre,0,0.3,0.01,0.3,bks7-dkfd
2011-04-19T00:00:00.000,38,Urgell,252173,Tàrrega,0,2.98,0.05,2.98,bks7-dkfd
2011-04-20T00:00:00.000,03,Alt Penedès,082877,Torrelavit,0,0.001,0,0.001,bks7-dkfd
2011-04-20T00:00:00.000,40,Vallès Occidental,081803,Ripollet,0,0.06,0,0.06,bks7-dkfd
2011-04-21T00:00:00.000,38,Urgell,251305,Maldà,0,0.3,0,0.3,bks7-dkfd
2011-04-21T00:00:00.000,03,Alt Penedès,082877,Torrelavit,0,0.02,0,0.02,bks7-dkfd
2011-04-27T00:00:00.000,33,Segrià,251207,Lleida,0,0.1,0,0.1,bks7-dkfd
2011-04-28T00:00:00.000,01,Alt Camp,430831,"Milà, el",0,0.04,0,0.04,bks7-dkfd
2011-05-01T00:00:00.000,13,Barcelonès,080193,Barcelona,0.002,0,0,0.002,bks7-dkfd
2011-05-03T00:00:00.000,41,Vallès Oriental,081810,"Roca del Vallès, la",0,0.01,0,0.01,bks7-dkfd
2011-05-03T00:00:00.000,41,Vallès Oriental,081810,"Roca del Vallès, la",0,0.002,0,0.002,bks7-dkfd
2011-05-04T00:00:00.000,30,Ribera d'Ebre,431251,Riba-roja d'Ebre,0,0.005,0,0.005,bks7-dkfd
2011-05-05T00:00:00.000,02,Alt Empordà,171582,Sant Climent Sescebes,0,8.2,0,8.2,bks7-dkfd
2011-05-06T00:00:00.000,12,Baix Penedès,431634,"Vendrell, el",0,0.018,0,0.018,bks7-dkfd
2011-05-06T00:00:00.000,41,Vallès Oriental,082107,Sant Feliu de Codines,0.0025,0,0,0.0025,bks7-dkfd
2011-05-06T00:00:00.000,41,Vallès Oriental,081075,Lliçà d'Amunt,0.04,0,0,0.04,bks7-dkfd
2011-05-06T00:00:00.000,20,Gironès,170792,Girona,0.05,0,0,0.05,bks7-dkfd
2011-05-07T00:00:00.000,30,Ribera d'Ebre,431508,Tivissa,0,0.14,0,0.14,bks7-dkfd
2011-05-07T00:00:00.000,02,Alt Empordà,171788,Sant Pere Pescador,0.002,0,0,0.002,bks7-dkfd
2011-05-08T00:00:00.000,06,Anoia,081192,Masquefa,0,0.045,0,0.045,bks7-dkfd
2011-05-10T00:00:00.000,02,Alt Empordà,170010,Agullana,0,0.006,0,0.006,bks7-dkfd
2011-05-11T00:00:00.000,02,Alt Empordà,171582,Sant Climent Sescebes,0,9.2,0,9.2,bks7-dkfd
2011-05-11T00:00:00.000,12,Baix Penedès,431634,"Vendrell, el",0.06,0.19,0,0.25,bks7-dkfd
2011-05-11T00:00:00.000,23,Noguera,250404,Balaguer,0,0.25,0,0.25,bks7-dkfd
2011-05-12T00:00:00.000,02,Alt Empordà,171582,Sant Climent Sescebes,0,9.1,0,9.1,bks7-dkfd
2011-05-12T00:00:00.000,11,Baix Llobregat,081960,Sant Andreu de la Barca,0,0.001,0,0.001,bks7-dkfd
2011-05-13T00:00:00.000,07,Bages,081825,"Pont de Vilomara i Rocafort, el",0,0.001,0,0.001,bks7-dkfd
2011-05-15T00:00:00.000,02,Alt Empordà,171002,Masarac,0,0.02,0,0.02,bks7-dkfd
2011-05-15T00:00:00.000,33,Segrià,251898,Rosselló,0,1.7,0,1.7,bks7-dkfd
2011-05-15T00:00:00.000,33,Segrià,251207,Lleida,0,0.31,0,0.31,bks7-dkfd
2011-05-17T00:00:00.000,23,Noguera,250404,Balaguer,0.4,0,0,0.4,bks7-dkfd
2011-05-17T00:00:00.000,09,Baix Ebre,431554,Tortosa,0,0.4,0,0.4,bks7-dkfd
2011-05-18T00:00:00.000,33,Segrià,250100,Alcanó,0,0.029,0,0.029,bks7-dkfd
2011-05-18T00:00:00.000,33,Segrià,252043,Seròs,0,2.6,0,2.6,bks7-dkfd
2011-05-19T00:00:00.000,40,Vallès Occidental,082798,Terrassa,0.079,0,0,0.079,bks7-dkfd
2011-05-20T00:00:00.000,33,Segrià,251207,Lleida,0,0.08,0,0.08,bks7-dkfd
2011-05-21T00:00:00.000,02,Alt Empordà,172109,Ventalló,0.03,0,0,0.03,bks7-dkfd
2011-05-21T00:00:00.000,07,Bages,080983,Sant Salvador de Guardiola,0.002,0,0,0.002,bks7-dkfd
2011-05-21T00:00:00.000,34,Selva,171030,Maçanet de la Selva,0.0025,0,0,0.0025,bks7-dkfd
2011-05-21T00:00:00.000,06,Anoia,082573,Santa Maria de Miralles,0,0.115,0,0.115,bks7-dkfd
2011-05-21T00:00:00.000,33,Segrià,251207,Lleida,0.25,0,0,0.25,bks7-dkfd
2011-05-21T00:00:00.000,41,Vallès Oriental,081810,"Roca del Vallès, la",0.01,0,0,0.01,bks7-dkfd
2011-05-22T00:00:00.000,06,Anoia,082573,Santa Maria de Miralles,0.002,0,0,0.002,bks7-dkfd
2011-05-22T00:00:00.000,33,Segrià,251207,Lleida,0,0.07,0,0.07,bks7-dkfd
2011-05-23T00:00:00.000,11,Baix Llobregat,082634,Sant Vicenç dels Horts,0,0.047,0,0.047,bks7-dkfd
2011-05-23T00:00:00.000,02,Alt Empordà,171523,Roses,0,2.3,0,2.3,bks7-dkfd
2011-05-23T00:00:00.000,09,Baix Ebre,430252,Benifallet,7.28,2.48,0,9.76,bks7-dkfd
2011-05-23T00:00:00.000,02,Alt Empordà,171582,Sant Climent Sescebes,0,30.8,0.1,30.8,bks7-dkfd
2011-05-24T00:00:00.000,09,Baix Ebre,431554,Tortosa,0.7,0,0,0.7,bks7-dkfd
2011-05-24T00:00:00.000,16,Conca de Barberà,431763,Vimbodí i Poblet,0,0.07,0,0.07,bks7-dkfd
2011-05-24T00:00:00.000,33,Segrià,251207,Lleida,0.3,0,0,0.3,bks7-dkfd
2011-05-24T00:00:00.000,33,Segrià,251207,Lleida,0.1,0,0,0.1,bks7-dkfd
2011-05-25T00:00:00.000,06,Anoia,082508,Santa Margarida de Montbui,0,0.06,0,0.06,bks7-dkfd
2011-05-25T00:00:00.000,11,Baix Llobregat,082634,Sant Vicenç dels Horts,0,0.13,0,0.13,bks7-dkfd
2011-05-25T00:00:00.000,33,Segrià,252326,Torres de Segre,0,0.25,0,0.25,bks7-dkfd
2011-05-26T00:00:00.000,40,Vallès Occidental,082798,Terrassa,0,0.001,0,0.001,bks7-dkfd
2011-05-26T00:00:00.000,14,Berguedà,082687,Cercs,0.012,0,0,0.012,bks7-dkfd
